Date,Open,High,Low,Close,Volume
2015-01-02,111.39,111.44,107.35,109.33,53204600
2015-01-05,108.29,108.65,105.41,106.25,64285500
2015-01-06,106.54,107.43,104.63,106.26,65797100
2015-01-07,107.20,108.20,106.70,107.75,40105900
2015-01-08,109.23,112.15,108.70,111.89,59364500
2015-01-09,112.67,113.25,110.21,112.01,53699500
2015-01-12,112.60,112.80,110.21,109.25,49650800
2015-01-13,111.43,112.80,107.91,110.22,62039100
2015-01-14,109.04,110.49,108.50,109.80,48948200
2015-01-15,110.00,110.06,106.66,106.82,62930500
2015-01-16,109.13,109.27,108.05,109.56,48951400
2015-01-20,109.13,111.39,108.95,108.72,51814900
2015-01-21,109.01,111.65,108.83,109.55,48337300
2015-01-22,110.49,112.45,109.78,112.40,49176200
2015-01-23,112.30,113.75,111.53,112.98,50446100
2015-01-26,113.74,114.36,112.11,112.98,64416700
2015-01-27,113.10,114.90,109.63,109.85,92334500
2015-01-28,108.97,109.58,106.18,108.97,62930500
2015-01-29,109.13,113.25,108.05,113.10,65797100
2015-01-30,113.74,115.94,112.11,117.16,92334500
2015-02-02,118.86,119.75,117.45,118.63,57164400
2015-02-03,118.55,119.84,118.43,118.65,38892400
2015-02-04,119.06,120.54,118.81,119.56,44595000
2015-02-05,119.75,120.13,118.81,119.94,41403400
2015-02-06,119.25,119.62,118.21,118.93,37362400
2015-02-09,118.55,119.84,117.58,119.72,42527200
2015-02-10,120.45,121.88,119.25,120.99,53520000
2015-02-11,120.82,121.88,120.13,122.02,45964300
2015-02-12,122.18,122.35,121.60,122.15,33720400
2015-02-13,122.77,124.92,122.50,124.88,48948200
2015-02-17,127.49,129.50,127.19,129.50,64416700
2015-02-18,128.48,129.04,128.33,128.71,42527200
2015-02-19,128.33,128.75,127.86,128.45,37362400
2015-02-20,128.62,129.50,128.05,129.50,44595000
2015-02-23,130.02,133.60,129.66,133.00,70974100
2015-02-24,132.94,133.60,131.17,132.17,52451900
2015-02-25,131.56,131.60,128.15,128.79,51814900
2015-02-26,128.785,130.87,126.22,130.42,66524200
2015-02-27,130.02,130.57,128.24,128.46,55597900
2015-03-02,129.25,130.28,128.90,129.09,38516500
2015-03-03,128.96,129.57,125.85,126.60,51814900
2015-03-04,127.09,127.47,125.57,126.41,47482900
2015-03-05,125.90,127.22,123.80,126.37,64285500
2015-03-06,128.40,129.37,126.26,126.60,53699500
2015-03-09,127.96,129.57,125.06,127.14,55597900
2015-03-10,126.41,127.22,123.80,124.51,74711700
2015-03-11,124.75,125.90,123.80,124.25,48337300
2015-03-12,125.90,126.60,124.05,125.90,47482900
2015-03-13,125.15,125.46,123.28,123.59,60106200
2015-03-16,125.90,127.22,125.25,126.37,44595000
2015-03-17,128.79,129.22,127.21,129.22,37362400
2015-03-18,127.50,128.38,125.76,127.50,53699500
2015-03-19,128.75,129.25,127.40,127.50,40105900
2015-03-20,128.25,128.40,125.16,125.90,74711700
2015-03-23,127.09,127.80,125.16,126.37,42527200
2015-03-24,125.85,126.16,122.25,123.25,59364500
2015-03-25,123.88,124.62,122.50,123.38,48948200
2015-03-26,123.88,125.57,123.13,125.32,41403400
2015-03-27,126.09,127.22,125.57,125.90,38516500
2015-03-30,126.09,126.85,125.57,126.37,33720400
2015-03-31,126.09,126.85,124.05,124.43,55597900
2015-04-01,125.25,126.09,124.05,125.25,40105900
2015-04-02,126.09,127.47,125.57,125.90,37362400
2015-04-06,124.75,126.09,124.05,126.09,33720400
2015-04-07,127.50,128.38,126.09,127.04,42527200
2015-04-08,128.25,129.57,127.50,128.75,44595000
2015-04-09,129.10,130.02,128.38,129.10,38516500
2015-04-10,130.28,131.45,129.90,130.28,47482900
2015-04-13,128.90,130.02,128.15,129.57,40105900
